Feedback_ID,Customer_ID,Date_Submitted,Feedback_Text,Satisfaction_Score,Contacted_Agent,Referred_Claim,Unmatched_Customer_Flag
FDB90000,CUST11838,2020-08-07,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90001,CUST12252,2021-01-13,I'm not happy with the premium charged.,1,No,Yes,No
FDB90002,CUST10495,2022-02-16,Smooth experience with no issues.,5,No,Yes,No
FDB90003,CUST11182,2021-02-16,Claim process could be faster.,2,No,Yes,No
FDB90004,CUST11047,2021-04-09,The agent was helpful and explained everything.,5,No,No,No
FDB90005,CUST12167,2020-01-05,Very satisfied with the claim process.,5,Yes,No,No
FDB90006,,2023-11-25,Excellent customer service support.,4,Yes,Yes,Yes
FDB90007,,2023-02-06,Need more clarity on policy coverage.,3,No,No,Yes
FDB90008,CUST12331,2022-02-01,Smooth experience with no issues.,5,Yes,Yes,No
FDB90009,CUST12252,2020-02-27,Excellent customer service support.,4,No,No,No
FDB90010,CUST10090,2021-02-17,The mobile app experience was intuitive.,3,Yes,No,No
FDB90011,CUST10985,2023-11-22,I'm not happy with the premium charged.,1,Yes,No,No
FDB90012,CUST12396,2020-05-09,Claim process could be faster.,3,No,No,No
FDB90013,CUST11030,2023-10-11,The agent was helpful and explained everything.,4,Yes,No,No
FDB90014,CUST10100,2022-01-22,Need more clarity on policy coverage.,2,Yes,No,No
FDB90015,,2022-11-11,Need more clarity on policy coverage.,2,Yes,No,Yes
FDB90016,CUST12335,2022-02-08,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90017,,2021-11-28,I'm not happy with the premium charged.,3,No,Yes,Yes
FDB90018,,2022-09-08,Need more clarity on policy coverage.,1,Yes,Yes,Yes
FDB90019,CUST11327,2022-09-12,Claim process could be faster.,2,Yes,No,No
FDB90020,,2022-03-02,The mobile app experience was intuitive.,4,Yes,No,Yes
FDB90021,CUST12366,2022-06-24,Excellent customer service support.,5,Yes,Yes,No
FDB90022,,2022-04-08,I'm not happy with the premium charged.,3,Yes,No,Yes
FDB90023,,2023-01-20,I'm not happy with the premium charged.,1,No,No,Yes
FDB90024,CUST10942,2020-02-17,Smooth experience with no issues.,5,Yes,Yes,No
FDB90025,CUST11891,2021-08-11,Had to wait too long for claim approval.,1,Yes,No,No
FDB90026,CUST11003,2023-06-19,Claim process could be faster.,2,Yes,No,No
FDB90027,,2020-12-14,Had to wait too long for claim approval.,2,Yes,Yes,Yes
FDB90028,CUST11451,2022-01-23,Need more clarity on policy coverage.,2,No,Yes,No
FDB90029,CUST11105,2020-12-25,Smooth experience with no issues.,4,No,No,No
FDB90030,CUST10222,2022-08-09,Smooth experience with no issues.,5,Yes,No,No
FDB90031,CUST11815,2021-02-25,Smooth experience with no issues.,4,Yes,No,No
FDB90032,CUST12091,2020-11-20,Frustrated with repeated documentation requests.,3,Yes,No,No
FDB90033,CUST11369,2021-04-19,Smooth experience with no issues.,4,No,Yes,No
FDB90034,CUST10505,2021-03-16,Excellent customer service support.,5,Yes,Yes,No
FDB90035,,2020-02-24,Claim process could be faster.,3,No,Yes,Yes
FDB90036,CUST11612,2023-01-16,Excellent customer service support.,4,Yes,Yes,No
FDB90037,CUST10825,2023-05-12,Claim process could be faster.,2,Yes,No,No
FDB90038,CUST10916,2022-10-25,Frustrated with repeated documentation requests.,3,No,No,No
FDB90039,,2022-01-07,Need more clarity on policy coverage.,2,No,Yes,Yes
FDB90040,,2020-09-06,I'm not happy with the premium charged.,3,No,No,Yes
FDB90041,,2021-01-09,Need more clarity on policy coverage.,3,No,No,Yes
FDB90042,CUST10659,2023-07-16,The mobile app experience was intuitive.,3,Yes,No,No
FDB90043,,2021-08-05,Smooth experience with no issues.,5,Yes,No,Yes
FDB90044,,2023-03-05,Frustrated with repeated documentation requests.,1,No,Yes,Yes
FDB90045,,2020-08-14,The agent was helpful and explained everything.,5,Yes,No,Yes
FDB90046,,2023-10-23,Smooth experience with no issues.,5,No,No,Yes
FDB90047,CUST10911,2020-09-01,Had to wait too long for claim approval.,1,No,No,No
FDB90048,CUST11613,2021-06-07,Very satisfied with the claim process.,4,No,Yes,No
FDB90049,CUST10476,2021-02-11,The mobile app experience was intuitive.,3,Yes,No,No
FDB90050,,2023-08-22,The agent was helpful and explained everything.,5,Yes,No,Yes
FDB90051,,2020-09-30,The mobile app experience was intuitive.,5,No,No,Yes
FDB90052,CUST12432,2020-08-28,Had to wait too long for claim approval.,2,Yes,No,No
FDB90053,,2023-06-07,Need more clarity on policy coverage.,2,Yes,Yes,Yes
FDB90054,CUST10695,2023-03-03,The mobile app experience was intuitive.,5,No,Yes,No
FDB90055,CUST12303,2023-07-26,Had to wait too long for claim approval.,1,No,No,No
FDB90056,CUST11951,2022-02-05,Smooth experience with no issues.,5,No,Yes,No
FDB90057,,2020-09-11,Excellent customer service support.,5,Yes,No,Yes
FDB90058,,2022-07-28,Very satisfied with the claim process.,5,Yes,Yes,Yes
FDB90059,CUST10557,2020-09-09,I'm not happy with the premium charged.,2,Yes,No,No
FDB90060,CUST11982,2022-11-09,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90061,CUST12153,2021-03-24,Had to wait too long for claim approval.,1,No,Yes,No
FDB90062,CUST11571,2023-07-13,I'm not happy with the premium charged.,3,No,No,No
FDB90063,CUST11732,2023-07-22,The agent was helpful and explained everything.,5,Yes,No,No
FDB90064,CUST11330,2021-06-25,Need more clarity on policy coverage.,1,Yes,No,No
FDB90065,,2023-03-05,Need more clarity on policy coverage.,3,No,Yes,Yes
FDB90066,CUST12060,2023-05-04,I'm not happy with the premium charged.,2,Yes,No,No
FDB90067,CUST11545,2020-12-13,Need more clarity on policy coverage.,1,Yes,No,No
FDB90068,CUST10121,2021-01-07,Frustrated with repeated documentation requests.,1,No,No,No
FDB90069,CUST12010,2021-10-16,Need more clarity on policy coverage.,3,No,No,No
FDB90070,CUST10113,2020-03-18,Had to wait too long for claim approval.,1,No,No,No
FDB90071,CUST10300,2022-07-15,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90072,CUST10206,2022-07-06,Had to wait too long for claim approval.,2,Yes,Yes,No
FDB90073,CUST11056,2023-11-07,Need more clarity on policy coverage.,3,Yes,No,No
FDB90074,,2021-03-17,Very satisfied with the claim process.,5,Yes,Yes,Yes
FDB90075,CUST12346,2023-07-06,Very satisfied with the claim process.,4,Yes,No,No
FDB90076,,2021-12-30,The agent was helpful and explained everything.,5,No,No,Yes
FDB90077,,2023-05-04,I'm not happy with the premium charged.,1,No,Yes,Yes
FDB90078,CUST10410,2020-09-15,Excellent customer service support.,5,Yes,No,No
FDB90079,CUST10936,2021-07-06,Excellent customer service support.,5,No,Yes,No
FDB90080,CUST12040,2022-10-03,Frustrated with repeated documentation requests.,2,Yes,Yes,No
FDB90081,CUST12141,2022-04-27,Very satisfied with the claim process.,4,No,Yes,No
FDB90082,CUST11393,2023-09-29,The mobile app experience was intuitive.,4,Yes,Yes,No
FDB90083,CUST11742,2020-08-26,Excellent customer service support.,5,No,No,No
FDB90084,,2020-02-10,The mobile app experience was intuitive.,4,No,Yes,Yes
FDB90085,CUST12069,2021-11-10,The agent was helpful and explained everything.,5,No,Yes,No
FDB90086,CUST10236,2022-03-10,Had to wait too long for claim approval.,2,Yes,No,No
FDB90087,,2021-07-12,Had to wait too long for claim approval.,2,No,Yes,Yes
FDB90088,CUST11323,2021-08-25,Very satisfied with the claim process.,4,Yes,Yes,No
FDB90089,CUST11453,2023-02-14,Need more clarity on policy coverage.,3,Yes,No,No
FDB90090,,2022-02-02,Very satisfied with the claim process.,4,Yes,No,Yes
FDB90091,,2023-10-07,The agent was helpful and explained everything.,5,No,No,Yes
FDB90092,,2020-02-11,Need more clarity on policy coverage.,1,No,Yes,Yes
FDB90093,CUST10177,2023-09-15,Excellent customer service support.,5,No,Yes,No
FDB90094,,2020-05-27,Frustrated with repeated documentation requests.,3,Yes,No,Yes
FDB90095,CUST11064,2022-05-06,I'm not happy with the premium charged.,2,Yes,Yes,No
FDB90096,,2023-07-05,Need more clarity on policy coverage.,2,No,Yes,Yes
FDB90097,CUST11807,2020-10-08,Smooth experience with no issues.,4,No,Yes,No
FDB90098,CUST10449,2022-01-11,Very satisfied with the claim process.,4,Yes,Yes,No
FDB90099,,2022-11-18,I'm not happy with the premium charged.,1,Yes,No,Yes
FDB90100,CUST10394,2020-06-01,I'm not happy with the premium charged.,1,No,No,No
FDB90101,CUST10352,2020-09-17,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90102,CUST12339,2020-04-22,Smooth experience with no issues.,5,No,Yes,No
FDB90103,,2021-03-20,Frustrated with repeated documentation requests.,1,No,No,Yes
FDB90104,CUST11804,2020-01-25,Excellent customer service support.,5,Yes,No,No
FDB90105,,2020-04-18,Very satisfied with the claim process.,5,No,Yes,Yes
FDB90106,CUST10430,2020-02-27,Excellent customer service support.,5,No,Yes,No
FDB90107,CUST11289,2020-12-30,The agent was helpful and explained everything.,4,No,Yes,No
FDB90108,CUST10674,2021-07-28,The agent was helpful and explained everything.,5,Yes,No,No
FDB90109,,2021-07-13,Claim process could be faster.,2,Yes,Yes,Yes
FDB90110,,2020-07-26,Need more clarity on policy coverage.,1,No,Yes,Yes
FDB90111,CUST10085,2022-06-06,Had to wait too long for claim approval.,2,Yes,No,No
FDB90112,,2020-11-13,Need more clarity on policy coverage.,1,No,Yes,Yes
FDB90113,CUST10800,2021-06-17,The agent was helpful and explained everything.,4,Yes,No,No
FDB90114,,2020-10-10,The mobile app experience was intuitive.,3,No,Yes,Yes
FDB90115,,2023-01-09,Excellent customer service support.,5,Yes,No,Yes
FDB90116,CUST10417,2021-05-06,Had to wait too long for claim approval.,2,Yes,No,No
FDB90117,,2021-10-25,The mobile app experience was intuitive.,5,No,Yes,Yes
FDB90118,CUST10345,2021-10-27,Excellent customer service support.,5,No,No,No
FDB90119,,2023-05-28,Frustrated with repeated documentation requests.,1,Yes,Yes,Yes
FDB90120,,2022-10-03,Claim process could be faster.,3,No,No,Yes
FDB90121,,2021-01-04,Claim process could be faster.,2,Yes,No,Yes
FDB90122,CUST11710,2023-06-17,Smooth experience with no issues.,5,Yes,Yes,No
FDB90123,,2023-11-24,Frustrated with repeated documentation requests.,3,No,No,Yes
FDB90124,CUST12296,2021-06-21,Frustrated with repeated documentation requests.,3,No,Yes,No
FDB90125,CUST12022,2020-04-29,Had to wait too long for claim approval.,1,No,No,No
FDB90126,CUST11003,2023-09-04,The agent was helpful and explained everything.,5,No,No,No
FDB90127,,2023-02-13,Very satisfied with the claim process.,4,No,Yes,Yes
FDB90128,CUST10745,2022-11-05,The agent was helpful and explained everything.,4,Yes,No,No
FDB90129,,2020-03-05,Excellent customer service support.,4,Yes,Yes,Yes
FDB90130,CUST10580,2022-12-17,I'm not happy with the premium charged.,2,Yes,Yes,No
FDB90131,CUST10009,2021-08-06,The agent was helpful and explained everything.,4,No,Yes,No
FDB90132,,2023-08-10,The mobile app experience was intuitive.,5,No,No,Yes
FDB90133,CUST10451,2021-10-09,Smooth experience with no issues.,5,Yes,Yes,No
FDB90134,,2022-08-20,Need more clarity on policy coverage.,2,Yes,Yes,Yes
FDB90135,CUST10380,2020-06-04,The agent was helpful and explained everything.,5,Yes,Yes,No
FDB90136,CUST11594,2022-01-11,Claim process could be faster.,3,Yes,No,No
FDB90137,,2023-08-03,Need more clarity on policy coverage.,3,Yes,Yes,Yes
FDB90138,CUST11296,2021-12-31,Excellent customer service support.,5,Yes,No,No
FDB90139,CUST12296,2023-10-25,Excellent customer service support.,4,Yes,Yes,No
FDB90140,,2023-08-08,Very satisfied with the claim process.,5,No,No,Yes
FDB90141,CUST12178,2021-05-06,The agent was helpful and explained everything.,5,No,No,No
FDB90142,CUST12157,2021-01-01,Had to wait too long for claim approval.,1,No,No,No
FDB90143,,2020-06-09,Excellent customer service support.,4,No,Yes,Yes
FDB90144,CUST12474,2023-01-03,Need more clarity on policy coverage.,2,Yes,Yes,No
FDB90145,,2020-10-20,Frustrated with repeated documentation requests.,1,No,No,Yes
FDB90146,CUST11489,2021-04-30,The agent was helpful and explained everything.,4,No,No,No
FDB90147,,2020-06-30,Frustrated with repeated documentation requests.,1,Yes,Yes,Yes
FDB90148,,2023-11-14,Had to wait too long for claim approval.,2,Yes,No,Yes
FDB90149,,2021-03-25,Need more clarity on policy coverage.,3,Yes,No,Yes
FDB90150,CUST12227,2020-08-22,The mobile app experience was intuitive.,4,No,Yes,No
FDB90151,CUST10653,2020-03-21,Smooth experience with no issues.,5,Yes,No,No
FDB90152,CUST12040,2022-08-26,Smooth experience with no issues.,5,Yes,Yes,No
FDB90153,,2023-06-29,Claim process could be faster.,3,Yes,Yes,Yes
FDB90154,,2020-10-22,The mobile app experience was intuitive.,5,Yes,Yes,Yes
FDB90155,CUST10923,2023-10-28,Frustrated with repeated documentation requests.,2,Yes,No,No
FDB90156,,2021-10-13,Claim process could be faster.,3,No,Yes,Yes
FDB90157,,2022-01-24,Smooth experience with no issues.,4,Yes,No,Yes
FDB90158,,2023-04-29,Frustrated with repeated documentation requests.,2,No,No,Yes
FDB90159,CUST12340,2022-02-03,I'm not happy with the premium charged.,1,No,No,No
FDB90160,CUST11225,2022-09-22,Excellent customer service support.,4,Yes,Yes,No
FDB90161,CUST12294,2022-08-19,The mobile app experience was intuitive.,5,Yes,No,No
FDB90162,CUST10695,2023-01-31,Had to wait too long for claim approval.,1,Yes,No,No
FDB90163,,2020-11-15,Frustrated with repeated documentation requests.,1,Yes,No,Yes
FDB90164,,2023-05-19,Excellent customer service support.,4,No,No,Yes
FDB90165,CUST11126,2023-11-10,The mobile app experience was intuitive.,5,Yes,No,No
FDB90166,,2020-12-12,I'm not happy with the premium charged.,2,Yes,No,Yes
FDB90167,CUST11338,2023-01-15,Had to wait too long for claim approval.,2,No,No,No
FDB90168,CUST11338,2020-01-07,Smooth experience with no issues.,5,No,No,No
FDB90169,CUST10326,2023-05-31,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90170,CUST10723,2023-10-06,The agent was helpful and explained everything.,4,Yes,Yes,No
FDB90171,,2021-08-31,Very satisfied with the claim process.,5,Yes,Yes,Yes
FDB90172,CUST11875,2021-10-28,Frustrated with repeated documentation requests.,3,Yes,No,No
FDB90173,CUST10950,2022-05-02,The mobile app experience was intuitive.,4,No,No,No
FDB90174,,2021-10-01,Very satisfied with the claim process.,5,No,Yes,Yes
FDB90175,CUST11045,2021-09-25,Smooth experience with no issues.,4,No,Yes,No
FDB90176,,2020-07-06,Excellent customer service support.,4,No,No,Yes
FDB90177,CUST10144,2022-09-24,Smooth experience with no issues.,4,Yes,Yes,No
FDB90178,,2021-03-24,Very satisfied with the claim process.,4,No,Yes,Yes
FDB90179,CUST12221,2021-06-28,Smooth experience with no issues.,5,Yes,Yes,No
FDB90180,CUST10360,2022-05-21,Had to wait too long for claim approval.,1,No,Yes,No
FDB90181,CUST11465,2022-10-22,Need more clarity on policy coverage.,3,Yes,No,No
FDB90182,CUST11512,2020-09-26,Excellent customer service support.,4,Yes,No,No
FDB90183,CUST10022,2022-06-17,Very satisfied with the claim process.,4,Yes,No,No
FDB90184,CUST12162,2022-09-04,Had to wait too long for claim approval.,1,No,Yes,No
FDB90185,CUST11369,2022-08-04,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90186,CUST11767,2022-03-12,Excellent customer service support.,5,No,Yes,No
FDB90187,CUST12146,2022-12-05,Smooth experience with no issues.,5,No,Yes,No
FDB90188,CUST12274,2020-03-14,The agent was helpful and explained everything.,5,Yes,No,No
FDB90189,CUST12155,2021-07-09,The mobile app experience was intuitive.,4,Yes,No,No
FDB90190,,2020-05-18,Excellent customer service support.,5,No,No,Yes
FDB90191,,2020-08-14,Claim process could be faster.,2,Yes,No,Yes
FDB90192,CUST12054,2020-10-17,The agent was helpful and explained everything.,5,No,Yes,No
FDB90193,CUST11882,2022-11-17,Frustrated with repeated documentation requests.,1,No,No,No
FDB90194,,2022-10-31,Very satisfied with the claim process.,5,Yes,No,Yes
FDB90195,,2020-05-18,Had to wait too long for claim approval.,1,No,No,Yes
FDB90196,CUST10275,2021-10-07,The mobile app experience was intuitive.,5,No,No,No
FDB90197,CUST10863,2021-03-24,The agent was helpful and explained everything.,4,Yes,No,No
FDB90198,,2023-12-06,The mobile app experience was intuitive.,3,No,Yes,Yes
FDB90199,,2021-04-12,Smooth experience with no issues.,4,Yes,Yes,Yes
FDB90200,CUST11320,2022-02-25,Smooth experience with no issues.,4,Yes,No,No
FDB90201,CUST11852,2023-09-30,Excellent customer service support.,4,No,Yes,No
FDB90202,CUST12312,2020-01-16,Claim process could be faster.,2,No,Yes,No
FDB90203,,2023-11-20,The mobile app experience was intuitive.,4,No,Yes,Yes
FDB90204,,2021-07-28,Smooth experience with no issues.,4,No,No,Yes
FDB90205,CUST10900,2020-05-10,The agent was helpful and explained everything.,4,Yes,No,No
FDB90206,CUST11062,2022-11-05,The agent was helpful and explained everything.,5,Yes,No,No
FDB90207,CUST12173,2020-10-31,The agent was helpful and explained everything.,4,No,No,No
FDB90208,CUST11854,2022-02-27,I'm not happy with the premium charged.,2,Yes,No,No
FDB90209,CUST11147,2023-10-04,Need more clarity on policy coverage.,1,Yes,Yes,No
FDB90210,CUST10973,2023-02-19,The mobile app experience was intuitive.,4,No,Yes,No
FDB90211,CUST11237,2021-09-08,I'm not happy with the premium charged.,2,Yes,No,No
FDB90212,CUST10311,2021-11-26,The agent was helpful and explained everything.,4,Yes,No,No
FDB90213,,2020-07-18,Had to wait too long for claim approval.,2,Yes,Yes,Yes
FDB90214,CUST11073,2021-11-02,Smooth experience with no issues.,4,Yes,Yes,No
FDB90215,CUST12275,2023-08-29,Had to wait too long for claim approval.,1,Yes,Yes,No
FDB90216,CUST11985,2021-02-27,The mobile app experience was intuitive.,4,Yes,Yes,No
FDB90217,CUST10852,2021-04-26,Excellent customer service support.,4,Yes,No,No
FDB90218,,2022-08-02,Claim process could be faster.,3,Yes,No,Yes
FDB90219,CUST12047,2022-06-11,Frustrated with repeated documentation requests.,2,No,Yes,No
FDB90220,CUST12332,2022-01-27,Very satisfied with the claim process.,5,Yes,Yes,No
FDB90221,CUST10932,2021-11-22,Frustrated with repeated documentation requests.,1,No,Yes,No
FDB90222,CUST10597,2022-02-28,I'm not happy with the premium charged.,2,No,No,No
FDB90223,,2021-04-29,The agent was helpful and explained everything.,4,Yes,No,Yes
FDB90224,CUST12271,2020-11-15,Need more clarity on policy coverage.,2,Yes,No,No
FDB90225,,2023-06-27,Need more clarity on policy coverage.,2,No,Yes,Yes
FDB90226,CUST10043,2020-05-25,Had to wait too long for claim approval.,2,No,Yes,No
FDB90227,,2021-02-19,I'm not happy with the premium charged.,2,Yes,No,Yes
FDB90228,CUST11039,2022-06-02,Need more clarity on policy coverage.,3,Yes,Yes,No
FDB90229,CUST11435,2021-01-23,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90230,CUST11217,2020-07-22,Need more clarity on policy coverage.,2,Yes,Yes,No
FDB90231,CUST10931,2023-10-06,The agent was helpful and explained everything.,4,Yes,No,No
FDB90232,CUST10422,2023-11-27,Had to wait too long for claim approval.,1,No,No,No
FDB90233,,2022-11-13,Claim process could be faster.,2,Yes,Yes,Yes
FDB90234,CUST11104,2022-01-28,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90235,CUST10554,2020-06-05,The agent was helpful and explained everything.,4,Yes,Yes,No
FDB90236,,2023-09-19,Claim process could be faster.,2,Yes,No,Yes
FDB90237,,2021-03-24,Claim process could be faster.,2,Yes,Yes,Yes
FDB90238,CUST11466,2021-01-20,Claim process could be faster.,2,Yes,No,No
FDB90239,CUST11580,2020-02-06,Very satisfied with the claim process.,4,Yes,No,No
FDB90240,,2020-08-30,The mobile app experience was intuitive.,5,Yes,No,Yes
FDB90241,CUST11234,2021-10-12,I'm not happy with the premium charged.,1,No,Yes,No
FDB90242,,2022-01-26,The mobile app experience was intuitive.,3,Yes,No,Yes
FDB90243,CUST10655,2022-07-14,The mobile app experience was intuitive.,5,No,No,No
FDB90244,CUST10381,2022-07-25,The mobile app experience was intuitive.,3,No,No,No
FDB90245,CUST12472,2020-12-31,Claim process could be faster.,2,No,No,No
FDB90246,CUST11239,2021-07-13,Excellent customer service support.,5,Yes,Yes,No
FDB90247,,2022-12-20,Need more clarity on policy coverage.,3,No,No,Yes
